                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3478,                 3.2252,                 1.1999,                0.00236,                0.66376,                0.19082,                 0.1384,                 1.0819,                  3.924,                  1.048,             0.00054574,             0.00054574,             0.00054574
                      2,                    1.2,                 2.3238,                 1.1342,                 0.2888,                0.55738,                0.29734,                0.20462,                 1.1681,                   2.93,                 1.1063,             0.00073795,             0.00073795,             0.00073795
                      3,                 1.1142,                 2.0207,                 1.0893,                0.45353,                0.63927,                0.41394,                0.27612,                 1.1084,                 2.4912,                 1.1036,             0.00056341,             0.00056341,             0.00056341
