                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93586,                0.96342,                 1.0099,                0.44644,                0.81542,                0.44855,                0.32231,                 1.0163,                 1.3325,                 1.0456,              0.0011059,              0.0011059,              0.0011059
                     36,                0.97419,                0.96401,                 1.0228,                0.39484,                 0.7269,                0.43687,                0.31548,                0.96131,                 1.2909,                 1.0143,              0.0010894,              0.0010894,              0.0010894
                     37,                0.94125,                0.97326,                 1.0172,                0.46195,                0.83837,                 0.4738,                0.33679,                0.98032,                 1.2223,                  1.022,              0.0010729,              0.0010729,              0.0010729
                     38,                0.93464,                0.90351,                 1.0101,                0.44479,                0.84483,                0.45044,                0.32877,                0.97488,                 1.3402,                 1.0192,              0.0010564,              0.0010564,              0.0010564
                     39,                0.93939,                0.87377,                 1.0047,                0.45869,                0.66196,                0.47671,                0.34813,                0.93458,                 1.1766,                 1.0031,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.9024,                0.87624,                 1.0004,                0.36058,                 0.6061,                0.31542,                0.21646,                 1.0728,                  1.873,                 1.1086,              0.0010234,              0.0010234,              0.0010234
                     41,                0.88774,                0.88043,                0.99971,                0.40868,                 0.8299,                0.42321,                0.29791,                 1.0218,                 1.5406,                 1.0503,              0.0010069,              0.0010069,              0.0010069
                     42,                0.87685,                 0.8598,                0.98686,                0.40059,                0.75435,                 0.4517,                0.33295,                0.94597,                 1.7873,                 1.0323,             0.00099036,             0.00099036,             0.00099036
                     43,                0.88037,                 0.8758,                0.98734,                0.47694,                0.84729,                0.50812,                0.37512,                0.94746,                 1.3159,                 1.0185,             0.00097386,             0.00097386,             0.00097386
                     44,                0.90023,                0.82854,                 1.0091,                0.44323,                0.84868,                0.46573,                0.33181,                 1.0204,                 1.5133,                 1.0474,             0.00095736,             0.00095736,             0.00095736
                     45,                0.86705,                0.81976,                0.97499,                0.46214,                0.72272,                0.48705,                0.35342,                0.95808,                 1.2862,                 1.0249,             0.00094085,             0.00094085,             0.00094085
                     46,                0.91358,                0.87079,                 1.0007,                 0.4143,                0.84427,                0.44256,                0.31752,                0.95979,                 1.3088,                 1.0168,             0.00092435,             0.00092435,             0.00092435
                     47,                0.88698,                 0.8181,                0.99624,                0.40912,                0.75817,                0.42346,                0.30905,                0.94731,                 1.3881,                 1.0156,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.8745,                0.79475,                0.98614,                0.44121,                0.80743,                0.48541,                0.35289,                0.96581,                 1.5239,                 1.0384,             0.00089134,             0.00089134,             0.00089134
                     49,                0.87729,                0.80112,                0.98407,                0.49428,                0.64424,                  0.492,                0.35724,                0.93753,                 1.2352,                  1.009,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86912,                 0.8035,                0.98755,                0.48995,                0.63574,                0.49139,                0.35856,                0.94235,                 1.2506,                 1.0166,             0.00085834,             0.00085834,             0.00085834
                     51,                0.84117,                0.74754,                 0.9682,                0.42197,                0.78864,                0.44579,                0.32877,                0.95455,                 1.4414,                 1.0187,             0.00084184,             0.00084184,             0.00084184
                     52,                0.82779,                 0.7452,                0.97888,                0.41902,                 0.8139,                0.44342,                 0.3144,                0.96659,                 1.4734,                 1.0451,             0.00082533,             0.00082533,             0.00082533
                     53,                0.85768,                0.79205,                 0.9833,                0.46261,                0.73992,                0.49253,                0.35074,                0.98705,                 1.2946,                 1.0379,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83611,                0.73471,                0.96927,                0.39069,                0.75593,                0.41036,                0.29654,                0.99979,                 1.6032,                 1.0647,             0.00079233,             0.00079233,             0.00079233
                     55,                0.84814,                0.71341,                0.97385,                0.41676,                0.76849,                0.43612,                0.32197,                0.98861,                 1.4811,                 1.0398,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85029,                0.74083,                0.98011,                0.41834,                0.81449,                0.46814,                0.34607,                0.95244,                 1.5383,                 1.0302,             0.00075932,             0.00075932,             0.00075932
                     57,                0.84274,                0.73349,                0.96784,                0.42143,                0.79682,                 0.4755,                0.34749,                 1.0041,                 1.5627,                  1.051,             0.00074282,             0.00074282,             0.00074282
                     58,                0.83706,                0.70648,                0.96687,                0.42081,                0.79818,                0.48098,                0.34671,                 1.0002,                 1.5755,                 1.0532,             0.00072631,             0.00072631,             0.00072631
                     59,                0.83827,                0.69989,                0.96932,                 0.4507,                0.66874,                 0.4714,                0.34816,                0.96279,                 1.2777,                 1.0228,             0.00070981,             0.00070981,             0.00070981
                     60,                0.82242,                0.69237,                0.97163,                0.40704,                0.78752,                0.43845,                0.32128,                 1.0061,                 1.6478,                 1.0671,             0.00069331,             0.00069331,             0.00069331
                     61,                0.82659,                0.68131,                0.96784,                0.43143,                0.80568,                0.51318,                0.38387,                0.97334,                 1.4822,                 1.0432,              0.0006768,              0.0006768,              0.0006768
                     62,                0.80806,                0.65178,                0.95517,                0.43308,                0.78536,                0.45383,                0.33832,                0.96818,                 1.5113,                 1.0477,              0.0006603,              0.0006603,              0.0006603
                     63,                0.81913,                0.63474,                0.95291,                 0.4546,                 0.7762,                0.50918,                0.37243,                  0.944,                 1.5646,                 1.0227,              0.0006438,              0.0006438,              0.0006438
                     64,                0.82554,                0.65749,                0.95728,                0.43217,                0.65297,                0.44581,                0.32621,                0.97921,                  1.432,                 1.0307,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82712,                0.67968,                0.96721,                0.41498,                0.71336,                0.45967,                0.34125,                 0.9999,                 1.8372,                 1.0596,             0.00061079,             0.00061079,             0.00061079
                     66,                0.79597,                0.64081,                0.96227,                0.39642,                0.71647,                0.45311,                0.33811,                0.98331,                 1.8502,                 1.0497,             0.00059429,             0.00059429,             0.00059429
                     67,                0.79886,                0.59584,                0.95947,                0.43217,                0.74716,                0.48309,                0.35761,                0.96987,                 1.3651,                 1.0364,             0.00057778,             0.00057778,             0.00057778
                     68,                0.81485,                0.62933,                0.95217,                0.53809,                0.59774,                0.54354,                0.39381,                0.95957,                 1.2505,                 1.0264,             0.00056128,             0.00056128,             0.00056128
                     69,                0.77325,                  0.601,                0.95139,                0.42583,                0.72052,                0.49453,                0.36479,                0.94211,                 1.8406,                 1.0341,             0.00054478,             0.00054478,             0.00054478
                     70,                0.78709,                0.61395,                0.94655,                0.42807,                0.76368,                0.46599,                0.34538,                0.94932,                 1.5944,                 1.0429,             0.00052827,             0.00052827,             0.00052827
                     71,                0.78055,                0.60757,                0.95093,                0.41746,                0.75002,                 0.4603,                 0.3459,                 0.9325,                 1.8124,                  1.029,             0.00051177,             0.00051177,             0.00051177
                     72,                0.80157,                0.60028,                0.94307,                0.42872,                0.77344,                0.49733,                0.36789,                  0.965,                 1.6055,                 1.0383,             0.00049527,             0.00049527,             0.00049527
                     73,                   0.78,                0.59453,                0.94975,                0.43286,                0.76778,                0.48341,                0.36058,                0.94779,                 1.6409,                 1.0327,             0.00047876,             0.00047876,             0.00047876
